"Ko Chi House, Ko Yee Estate",22.297491,114.241452,1
68-70 Bute Street,22.3222394,114.1699707,1
Man Cheong Building,22.308113,114.1659974,2
183 Reclamation Street,22.3110378,114.1692108,1
"Siu Keung House, Siu Kwai Court",22.4054267,113.9658671,4
"Block 3, Eldo Court",22.3986569,113.9757874,2
23 Pitt Street,22.313559,114.168105,3
153 Temple Street,22.3072454,114.1700836,4
163 Temple Street,22.307059,114.169996,1
"Block C, Tung Fat Building",22.2901289,114.2002778,2
Kennedy Mansion,22.2823964,114.1266688,1
"Begonia House, So Uk Estate",22.340189,114.157628,1
10-10A Wong Chuk Street,22.3286588,114.1655438,1
"Shek Foon House, Shek Lei (II) Estate",22.364641,114.140808,2
Man Yiu Building,22.3077788,114.1659045,3
Cheung Wan Building,22.2856544,114.153755,2
Man Ying Building,22.3072983,114.1667406,2
159 Woosung Street,22.304531,114.1700127,1
"Block 2, Uptown Plaza",22.4436391,114.1690396,1
"Ning On Mansion, Taikoo Shing",22.2860121,114.2148048,2
"128 Broadway, Stage 8, Mei Foo Sun Chuen",22.3351474,114.1420542,1
28-30 Reclamation Street,22.3069505,114.1693359,1
Shun Fung Building,22.4438492,114.0338412,2
33C Portland Street,22.3126757,114.1699988,3
Orchid Court,22.3143855,114.167832,5
Healey Building,38.9072807,-77.0727208,2
74 Portland Street,22.314056,114.16991,3
"Block D, Chungking Mansions",22.29642,114.172485,2
197 Shanghai Street,22.307825,114.169745,1
42 Temple Street,22.3073082,114.1702215,2
"Block A, Wai Ching Court",22.3063092,114.1674837,4
"Tower 8, Aegean Coast",22.3730544,113.9936527,1
"Block 9, Lynwood Court, Kingswood Villas",22.4603584,114.0041407,3
17 Temple Street,22.311392,114.170085,1
"Sheung Hong House, Upper Ngau Tau Kok Estate",22.3201348,114.2163412,2
"Block D, Luk Yeung Sun Chuen",22.3738436,114.12092,3
"Block A, Sunway Gardens",22.2858779,114.2117669,4
"Block 6, Parc Versailles",22.4526115,114.1545021,2
Cheung Hing Building,22.2827301,114.1539243,2
"Block 3, Prosperous Garden",22.3107703,114.1679481,1
"Yee Man House, Ho Man Tin Estate",22.3162312,114.1825316,4
"Block 4, Willow Mansions, Whampoa Garden",22.3032865,114.1894957,2
"Kam Po Building, Woosung Street",22.3067274,114.1703633,2
Season Mansion,28.417663,-81.581212,3
"David Mansion, Woosung Street",22.3062007,114.1702471,1
571 Canton Road,22.307385,114.168225,1
Yau Lee Building,22.3143499,114.1672282,1
575 Canton Road,34.2367621,-84.4907621,1
"Tower 4, Lido Garden",22.366227,114.058911,2
"Tower 3, Century Gateway",22.394481,113.974301,1
"Po Tak House, Po Lam Estate",22.3265018,114.2554419,1
Lauren Court,22.313862,114.1681107,2
27 Ning Po Street,22.3065905,114.1710899,1
202 Temple Street,22.306297,114.1700634,1
542 Canton Road,22.306705,114.168396,1
223 Yu Chau Street,22.3292237,114.1619334,1
13 Pitt Street,22.313561,114.1678154,3
511 Canton Road,22.306099,114.167887,1
7 Waterloo Road,22.3130609,114.169857,1
"Yee Leung House, Yee Nga Court",22.4547359,114.1739859,1
"Tower 6, The Belcher's",22.2847577,114.1326485,1
"Tin Mei House, Tin Ping Estate",22.5016284,114.133949,1
"Block 3, Melody Garden",22.373368,113.961526,1
"Block H, Allway Gardens",22.3783333,114.1036111,1
"350 Shanghai Street, Yau Ma Tei",22.3130258,114.16952,1
"Block 1, Hibiscus Park",22.3589104,114.124636,1
Bo Lun Building,22.3071468,114.1689467,4
191 Shanghai Street,22.307735,114.169716,1
"Block 5, Belair Monte",22.5015235,114.1446553,1
Tai On House,22.283319,114.221728,2
121 Woosung Street,22.3055917,114.1700841,1
"Hong Nin House, Hong Yat Court",22.3189378,114.1710367,1
Ramada Hong Kong Harbour View,22.2869928,114.1435356,1
"Block 5, Site 11 - Bauhinia Mansions",22.3060392,114.1895213,3
"Tao Tak House, Lei Cheng Uk Estate",22.3395717,114.1589377,1
816 Canton Road,22.313099,114.16858,2
On Hong Building,22.2805487,114.1564993,1
Yen Yin Building,22.3065673,114.1673676,1
161 Castle Peak Road Nin Wong Building,22.2665977,114.1601006,1
"Tower 5, The Spectra",22.4483597,114.0266292,1
47 Reclamation Street,22.3076389,114.1692491,1
"Block A, Shun Lee Building",22.4419761,114.0345149,2
"Tower 8, Park Signature",22.4363246,114.0241401,1
260 Tai Nan Street,22.3283895,114.1619891,1
35 Battery Street,22.3066287,114.1685266,1
"Block 6, Villa Athena",22.4262661,114.2369601,1
95 Kweilin Street,22.3298096,114.1607223,1
"Block 4, Hong Sing Garden",22.454084,114.173457,1
"Yiu Fu House, Yiu Tung Estate",22.2788035,114.2218238,2
"Block 3, The Grandiose",22.3090272,114.2616214,1
Wah Lai Mansion,22.2919356,114.2018285,1
Grand City Hotel,22.2868357,114.1411637,2
"Block 3, Verbena Heights",22.3225934,114.2559063,3
"Block 3, New Jade Garden",22.2635437,114.2370876,1
"Lai Tat House, On Tat Estate",22.3206514,114.2366173,1
"Block 7, Laguna City",22.3066974,114.2267669,1
"Block M3, Yoho Midtown",22.44406,114.035633,2
